PPG,Serial_No,filtered_data_rawppg
-0.488,1,-0.188972952
-0.488,2,-0.227694291
-0.488,3,-0.151560017
-0.488,4,-0.583218392
-0.463,5,-0.315209657
-0.463,6,-0.278629194
-0.463,7,-0.500607564
-0.463,8,-0.489183205
-0.442,9,-0.27318218
-0.442,10,-0.863071817
-0.442,11,-0.45642327
-0.442,12,-0.870053952
-0.413,13,-0.045674098
-0.413,14,-0.440595
-0.413,15,-0.5197436
-0.413,16,-0.308421614
-0.38,17,-0.503094272
-0.38,18,-0.051226497
-0.38,19,-0.185435282
-0.38,20,-0.794404115
-0.35,21,-0.006947105
-0.35,22,-0.038096009
-0.35,23,-0.153215124
-0.35,24,-0.665975027
-0.317,25,-0.629021197
-0.317,26,-0.215778671
-0.317,27,-0.131245474
-0.317,28,-0.245314813
-0.288,29,-0.491695373
-0.288,30,-0.476714569
-0.288,31,-0.560301639
-0.288,32,0.108529621
-0.263,33,-0.175913427
-0.263,34,-0.457280388
-0.263,35,-0.1665625
-0.263,36,0.155708094
-0.234,37,0.031944034
-0.234,38,-0.397645424
-0.234,39,-0.285560617
-0.234,40,0.377608063
-0.208,41,-0.414655413
-0.208,42,-0.052139515
-0.208,43,0.076668025
-0.208,44,-0.28230899
-0.183,45,-0.34062433
-0.183,46,-0.350594591
-0.183,47,-0.127910457
-0.183,48,-0.406430384
-0.166,49,-0.437677042
-0.166,50,0.154665038
-0.166,51,0.039911048
-0.166,52,-0.174994688
-0.158,53,0.006870592
-0.158,54,-0.588619067
-0.158,55,-0.280015645
-0.158,56,-0.035295612
-0.149,57,0.13155983
-0.149,58,0.111531641
-0.149,59,-0.493285655
-0.149,60,-0.075559018
-0.145,61,-0.098478566
-0.145,62,-0.458972116
-0.145,63,-0.245743617
-0.145,64,-0.187449295
-0.145,65,0.148749846
-0.145,66,-0.541645444
-0.145,67,-0.354598324
-0.145,68,0.083888959
-0.145,69,-0.334203158
-0.145,70,-0.319410988
-0.145,71,0.303890122
-0.145,72,-0.05500451
-0.153,73,-0.498155116
-0.153,74,-0.000427252
-0.153,75,-0.203715043
-0.153,76,-0.389291047
-0.158,77,-0.340679934
-0.158,78,-0.031315462
-0.158,79,-0.184527355
-0.158,80,-0.017540152
-0.17,81,-0.302020233
-0.17,82,-0.617327587
-0.17,83,-0.165966584
-0.17,84,-0.228877058
-0.174,85,0.153370311
-0.174,86,-0.448047597
-0.174,87,-0.444656544
-0.174,88,0.037566293
-0.178,89,0.129569924
-0.178,90,-0.080188112
-0.178,91,0.206674884
-0.178,92,-0.472501592
-0.191,93,-0.267395658
-0.191,94,-0.080329883
-0.191,95,0.307079505
-0.191,96,0.114130446
-0.195,97,-0.242195296
-0.195,98,0.229870331
-0.195,99,-0.532508499
-0.195,100,0.05470393
-0.191,101,0.188312457
-0.191,102,0.214645634
-0.191,103,0.110558578
-0.191,104,-0.025730302
-0.182,105,-0.277826855
-0.182,106,0.065281299
-0.182,107,-0.31714846
-0.182,108,-0.161175092
-0.174,109,0.195104075
-0.174,110,-0.062741844
-0.174,111,-0.204564707
-0.174,112,-0.186582034
-0.149,113,0.147311755
-0.149,114,0.041275069
-0.149,115,-0.29090025
-0.149,116,-0.130317278
-0.129,117,-0.257146385
-0.129,118,0.232617614
-0.129,119,0.219418565
-0.129,120,-0.057513917
-0.1,121,-0.255948816
-0.1,122,0.063041709
-0.1,123,-0.058928763
-0.1,124,0.097922596
-0.058,125,-0.038687376
-0.058,126,-0.202635973
-0.058,127,-0.124844744
-0.058,128,-0.283288818
-0.017,129,0.401626588
-0.017,130,-0.382571906
-0.017,131,-0.163651546
-0.017,132,-0.209570581
0.033,133,0.490443388
0.033,134,-0.242529356
0.033,135,-0.072003686
0.033,136,0.292583377
0.083,137,-0.01033701
0.083,138,-0.220323787
0.083,139,0.103521187
0.083,140,-0.039345873
0.141,141,0.447805133
0.141,142,-0.155100794
0.141,143,0.442977835
0.141,144,0.30522689
0.199,145,0.454424252
0.199,146,0.14241949
0.199,147,0.513605779
0.199,148,0.528386119
0.248,149,0.152415278
0.248,150,0.273120133
0.248,151,0.368593713
0.248,152,0.836829284
0.298,153,0.417476401
0.298,154,0.630575062
0.298,155,0.513948868
0.298,156,0.396652858
0.348,157,0.653366799
0.348,158,0.351027929
0.348,159,0.491846586
0.348,160,0.131290286
0.389,161,0.379120162
0.389,162,0.576110487
0.389,163,0.500724242
0.389,164,0.38426645
0.426,165,0.240581647
0.426,166,0.224656679
0.426,167,0.591793811
0.426,168,0.383887827
0.456,169,0.383567828
0.456,170,0.19790045
0.456,171,0.13643788
0.456,172,0.237972444
0.48,173,0.756070144
0.48,174,0.121727482
0.48,175,0.732981398
0.48,176,0.08241659
0.497,177,0.676936039
0.497,178,0.24043498
0.497,179,0.181320864
0.497,180,0.780049984
0.513,181,0.292014538
0.513,182,0.595135637
0.513,183,0.242334043
0.513,184,0.757922648
0.517,185,0.884813026
0.517,186,0.436150891
0.517,187,0.371005862
0.517,188,0.663452109
0.509,189,0.254720278
0.509,190,0.83619949
0.509,191,0.377816557
0.509,192,0.636699998
0.509,193,0.744493702
0.509,194,0.375085516
0.509,195,0.372374877
0.509,196,0.701210063
0.497,197,0.564506554
0.497,198,0.587868755
0.497,199,0.821202031
0.497,200,0.261635977
0.48,201,0.909092469
0.48,202,0.492036728
0.48,203,0.405543903
